County,Year,HDU,HDUday
SanDiego,2016,273.7315386,138.4913901
SanFrancisco,2016,194.31776,147
SanJoaquin,2016,588.886839,134.245935
SanLuisObispo,2016,192.9354568,147
SanMateo,2016,185.2583078,150.4228982
SantaBarbara,2016,159.9345612,148.6206897
SantaClara,2016,215.3370575,151.8549521
SantaCruz,2016,177.3158522,154.6691176
Shasta,2016,485.0121897,135.0785805
Solano,2016,352.8817643,143.9665653
Sonoma,2016,187.7102775,160.1538462
Stanislaus,2016,546.7093121,129.2460733
Sutter,2016,527.2688131,132.1785714
Tehama,2016,576.0146287,126.0769231
Tulare,2016,639.2828497,124.1656388
Ventura,2016,272.414931,143.3141892
Yolo,2016,491.7979497,132.8457447
Yuba,2016,529.2093872,132.4038462
Alameda,2017,251.9033432,145.6168437
Butte,2017,461.8972635,142.0546875
Cache,2017,71.0905118,187
Calaveras,2017,375.9484329,150
Colusa,2017,451.4027499,143.75
ContraCosta,2017,302.6077238,145.1276596
Davis,2017,119.9841948,176.3333333
Fresno,2017,634.281203,127.4745997
Glenn,2017,524.3354365,138.9285714
Imperial,2017,1060.445736,108.1428571
Inyo,2017,141.4234646,173.4366197
Kern,2017,559.5483266,126
Kings,2017,579.5746571,126.9885057
Lake,2017,264.180561,166.8601036
LosAngeles,2017,414.919482,133.9541321
Madera,2017,605.0228453,130.0766396
Marin,2017,199.4228719,157.875
Merced,2017,583.7806819,132.9526124
Monterey,2017,240.7656837,163.5333333
Napa,2017,258.6623894,152.9074074
Nevada,2017,168.6734354,173
NULL,2017,790.2099217,128
Orange,2017,433.868305,123.0193322
Placer,2017,418.6065431,147.1899549
Riverside,2017,729.459967,117.8321227
Sacramento,2017,449.6134189,142.3770857
SaltLake,2017,166.2194505,168.1851852
San Bernardino,2017,791.8422723,124.5625
SanBenito,2017,171.1270398,168.6666667
SanBernardino,2017,406.2462344,141.9778193
SanDiego,2017,356.9700728,135.5700025
SanFrancisco,2017,202.9014244,146
SanJoaquin,2017,500.1545992,138.7063008
SanLuisObispo,2017,216.8114477,161
SanMateo,2017,201.3388343,155.3924799
SantaBarbara,2017,195.2798765,160.862069
SantaClara,2017,234.6203122,161.0994675
SantaCruz,2017,202.985298,167.2720588
Shasta,2017,463.3480255,143.9480355
Solano,2017,354.4618155,146.0182371
Sonoma,2017,219.5670218,160.1846154
Stanislaus,2017,535.3618885,133.2814136
Sutter,2017,503.9070517,139.7857143
Tehama,2017,564.8376631,136.6153846
Tulare,2017,578.6793883,127.2044053
Ventura,2017,326.1691105,144.5101351
Yolo,2017,472.5650505,140.5780142
Yuba,2017,505.2902564,139.8653846
Alameda,2018,270.5509145,159.2268589
Butte,2018,470.3368056,139.53125
Cache,2018,30.24183559,185
Calaveras,2018,380.6215004,150
Colusa,2018,457.8245463,144.15625
ContraCosta,2018,306.3395986,154.7943262
Davis,2018,68.30179294,178.6666667
Fresno,2018,669.8164934,123.98373
Glenn,2018,524.9743744,135.0357143
Imperial,2018,1089.158791,103.8376623
Inyo,2018,132.5326566,175
Kern,2018,604.9489872,123.4090909
Kings,2018,640.3647076,124.9885057
Lake,2018,252.5978226,176.4067358
LosAngeles,2018,340.7395137,142.747331
Madera,2018,623.6838499,125.9410464
Marin,2018,163.2549329,171.7083333
Merced,2018,578.8838181,128.7290401
Monterey,2018,246.7391701,163.8666667
Napa,2018,231.8013349,163.4814815
Nevada,2018,164.7424021,181
NULL,2018,788.8826529,127.6666667
Orange,2018,378.0908751,126.7768014
Placer,2018,411.9492106,147.86349
Riverside,2018,723.0315968,124.2288136
Sacramento,2018,446.7159752,141.625139
SaltLake,2018,115.2355681,164.8703704
San Bernardino,2018,781.2492804,123.625
SanBenito,2018,189.1554611,165.6666667
SanBernardino,2018,345.3613362,148.8097274
SanDiego,2018,325.1072303,143.5909658
SanFrancisco,2018,220.8538756,163
SanJoaquin,2018,509.4618155,131.9034553
SanLuisObispo,2018,271.6521972,178
SanMateo,2018,213.5780438,168.9577524
SantaBarbara,2018,234.1048788,182.2528736
SantaClara,2018,270.6574274,172.5476038
SantaCruz,2018,210.9021702,176.5367647
Shasta,2018,479.8109107,142.6844106
Solano,2018,338.3981329,151.4680851
Sonoma,2018,175.9206393,172.4974359
Stanislaus,2018,547.2830626,134.3344241
Sutter,2018,509.7841717,136.625
Tehama,2018,567.7256449,132.5384615
Tulare,2018,639.8437388,122.8555066
Ventura,2018,268.5324955,158.1114865
Yolo,2018,471.5000518,139.9131206
Yuba,2018,511.8857458,136.5384615
Alameda,2019,178.1196593,156.8080425
Butte,2019,293.3732036,134.46875
Cache,2019,39.95275342,203
Calaveras,2019,242.2093341,154
Colusa,2019,296.614438,134.65625
ContraCosta,2019,208.956982,152.0851064
Davis,2019,77.44055597,191.3333333
Fresno,2019,487.4303342,119.4767633
Glenn,2019,326.2992968,129.1785714
Imperial,2019,926.5944646,107.8246753
Inyo,2019,126.5350573,188.084507
Kern,2019,409.7070451,121.8244514
Kings,2019,458.4010611,120.0229885
Lake,2019,173.0028864,158.6943005
LosAngeles,2019,255.1299503,152.1759589
Madera,2019,443.1347365,122.440678
Marin,2019,122.5590496,164.5416667
Merced,2019,400.907975,127.3171324
Monterey,2019,207.0918811,160.0666667
Napa,2019,162.0757217,160.962963
Nevada,2019,75.52240992,182
NULL,2019,660.4918784,123.3333333
Orange,2019,289.7085113,134.5518453
Placer,2019,276.0582717,149.909208
Riverside,2019,580.9852649,122.4465295
Sacramento,2019,303.2078387,138.8921023
SaltLake,2019,118.7233502,182.6111111
San Bernardino,2019,630.6840689,130.6875
SanBenito,2019,115.3476403,162.8833333
SanBernardino,2019,251.4756423,156.5232496
SanDiego,2019,207.6281933,144.1966559
SanFrancisco,2019,145.4402752,159
SanJoaquin,2019,365.3106165,133.8384146
SanLuisObispo,2019,143.6434464,164
SanMateo,2019,133.8140466,161.1423743
SantaBarbara,2019,136.2788262,166.6551724
SantaClara,2019,156.0475772,161.4779553
SantaCruz,2019,121.987702,163.7352941
Shasta,2019,298.2408065,134.608365
Solano,2019,239.291418,146.112462
Sonoma,2019,132.8425288,164.1641026
Stanislaus,2019,363.7579839,131.8324607
Sutter,2019,345.4178097,132.7321429
Tehama,2019,359.0624488,127.0769231
Tulare,2019,458.0437936,121.8572687
Ventura,2019,185.5415643,156.6081081
Yolo,2019,335.6749821,133.2021277
Yuba,2019,344.91689,132.9615385
Alameda,2020,153.9877831,143.8740516
Butte,2020,272.3307124,134.9609375
Cache,2020,34.31578565,186
Calaveras,2020,207.3976543,144
Colusa,2020,279.8584647,131.71875
ContraCosta,2020,184.6029333,140.7375887
Davis,2020,58.27358747,173
Fresno,2020,486.0167659,124.9267849
Glenn,2020,305.8846009,128.5357143
Imperial,2020,977.3320296,113.8636364
Inyo,2020,98.24899068,174.1408451
Kern,2020,415.6441695,127.3714734
Kings,2020,456.7167563,126
Lake,2020,158.0616187,152.9948187
LosAngeles,2020,241.6438078,131.7892448
Madera,2020,455.7936024,127.193073
Marin,2020,101.6332793,153.125
Merced,2020,425.2928708,130.9319563
Monterey,2020,220.2279705,151.6
Napa,2020,140.3810255,147.3333333
Nevada,2020,75.18732071,176
NULL,2020,719.7972128,121.3333333
Orange,2020,326.9589371,125.2513181
Placer,2020,250.1801681,140.1184804
Riverside,2020,605.5460288,121.0127119
Sacramento,2020,275.8285518,131.9849833
SaltLake,2020,89.72340461,162.4444444
San Bernardino,2020,650.3021691,122.875
SanBenito,2020,115.9218018,154.9833333
SanBernardino,2020,227.2977868,134.7624265
SanDiego,2020,276.0745325,133.1267781
SanFrancisco,2020,121.5289729,146
SanJoaquin,2020,338.611301,129.2845528
SanLuisObispo,2020,140.0702222,150.5
SanMateo,2020,112.9364963,149.8483312
SantaBarbara,2020,140.8025113,151.908046
SantaClara,2020,137.9027248,150.6317359
SantaCruz,2020,105.0508474,154.5367647
Shasta,2020,276.4062258,139.6958175
Solano,2020,215.8873883,137.5957447
Sonoma,2020,113.0299301,153.1128205
Stanislaus,2020,353.2676169,132.0569372
Sutter,2020,325.4381829,129.1785714
Tehama,2020,333.2392686,127.5384615
Tulare,2020,450.5057616,126.0951542
Ventura,2020,204.3039585,134.7128378
Yolo,2020,310.6094753,129.748227
Yuba,2020,325.3885674,129.4038462
Alameda,2021,235.5138652,162.7959029
Butte,2021,460.1130569,131.90625
Cache,2021,85.67859173,179
Calaveras,2021,324.6626408,148
Colusa,2021,444.3418282,132.375
ContraCosta,2021,284.2424943,153.5319149
Davis,2021,177.1688701,168
Fresno,2021,666.4894939,122.2761575
Glenn,2021,506.8850306,127.9285714
Imperial,2021,1123.123602,102.6623377
Inyo,2021,161.6168386,169.8309859
Kern,2021,570.4887732,122.8965517
Kings,2021,603.5351432,125
Lake,2021,249.3810603,154.1088083
LosAngeles,2021,370.2923986,141.8149466
Madera,2021,615.6283078,124.7627119
Marin,2021,179.6136474,169
