County,Year,AnnualPrecip
SanLuisObispo,2016,270.4942767
SanMateo,2016,346.4294618
SantaBarbara,2016,264.6911555
SantaClara,2016,306.9316998
SantaCruz,2016,266.032358
Shasta,2016,667.7741312
Solano,2016,346.3692566
Sonoma,2016,506.2695649
Stanislaus,2016,210.1544965
Sutter,2016,376.7408219
Tehama,2016,338.7714205
Tulare,2016,157.8303523
Ventura,2016,191.3891155
Yolo,2016,277.9665075
Yuba,2016,391.9891105
Alameda,2017,371.4083039
Butte,2017,593.4126948
Cache,2017,571.6040983
Calaveras,2017,482.7660801
Colusa,2017,467.3938853
ContraCosta,2017,385.9924246
Davis,2017,717.3573109
Fresno,2017,235.9914837
Glenn,2017,471.6020203
Imperial,2017,98.16247892
Inyo,2017,380.8433234
Kern,2017,144.6791076
Kings,2017,137.1301685
Lake,2017,695.4659016
LosAngeles,2017,490.6242994
Madera,2017,230.5850368
Marin,2017,575.9200425
Merced,2017,254.029805
Monterey,2017,345.9368931
Napa,2017,559.3790059
Nevada,2017,1074.630483
NULL,2017,438.9064062
Orange,2017,330.5486595
Placer,2017,438.6315822
Riverside,2017,216.8371928
Sacramento,2017,366.9640371
SaltLake,2017,712.2390875
San Bernardino,2017,307.9862902
SanBenito,2017,314.8330505
SanBernardino,2017,522.0653787
SanDiego,2017,314.5926587
SanFrancisco,2017,416.7539982
SanJoaquin,2017,240.3427157
SanLuisObispo,2017,436.6093476
SanMateo,2017,571.8187342
SantaBarbara,2017,485.7184854
SantaClara,2017,584.8367928
SantaCruz,2017,449.8605636
Shasta,2017,735.7026404
Solano,2017,458.5716022
Sonoma,2017,635.6339021
Stanislaus,2017,284.1938698
Sutter,2017,438.1470182
Tehama,2017,471.4804006
Tulare,2017,199.5838121
Ventura,2017,407.1459401
Yolo,2017,397.0462726
Yuba,2017,447.7093829
Alameda,2018,469.3865963
Butte,2018,693.5097046
Cache,2018,662.3487913
Calaveras,2018,624.6395938
Colusa,2018,461.6409847
ContraCosta,2018,479.6303157
Davis,2018,886.0709257
Fresno,2018,257.4846844
Glenn,2018,508.2665633
Imperial,2018,31.74076489
Inyo,2018,297.5149473
Kern,2018,153.9404888
Kings,2018,128.2387784
Lake,2018,708.5926285
LosAngeles,2018,293.0149867
Madera,2018,260.466077
Marin,2018,644.8137614
Merced,2018,287.2673973
Monterey,2018,403.6961336
Napa,2018,627.8295109
Nevada,2018,1370.971387
NULL,2018,370.7318289
Orange,2018,198.2264542
Placer,2018,566.2426136
Riverside,2018,92.85484833
Sacramento,2018,467.768366
SaltLake,2018,848.779061
San Bernardino,2018,172.4450584
SanBenito,2018,345.6686398
SanBernardino,2018,309.7276795
SanDiego,2018,180.7919379
SanFrancisco,2018,507.7111357
SanJoaquin,2018,232.2512406
SanLuisObispo,2018,400.6443032
SanMateo,2018,643.789715
SantaBarbara,2018,391.4201463
SantaClara,2018,674.3275645
SantaCruz,2018,515.8605978
Shasta,2018,948.2648853
Solano,2018,538.2259918
Sonoma,2018,690.0420167
Stanislaus,2018,339.73605
Sutter,2018,496.8046974
Tehama,2018,539.722722
Tulare,2018,200.6884941
Ventura,2018,302.4453226
Yolo,2018,419.7633391
Yuba,2018,510.8407659
Alameda,2019,641.3653245
Butte,2019,1093.159289
Cache,2019,723.1487663
Calaveras,2019,1022.040744
Colusa,2019,770.2748063
ContraCosta,2019,668.5516257
Davis,2019,971.0644558
Fresno,2019,501.7798374
Glenn,2019,798.7569667
Imperial,2019,175.5261739
Inyo,2019,523.1272083
Kern,2019,396.8588627
Kings,2019,344.9632891
Lake,2019,1227.736239
LosAngeles,2019,738.841277
Madera,2019,472.9153062
Marin,2019,985.8390474
Merced,2019,463.0443059
Monterey,2019,609.7578172
Napa,2019,948.9704729
Nevada,2019,2107.612538
NULL,2019,616.3320805
Orange,2019,655.9652365
Placer,2019,821.7200723
Riverside,2019,339.0467064
Sacramento,2019,673.7864486
SaltLake,2019,960.2559722
San Bernardino,2019,517.736423
SanBenito,2019,577.1262415
SanBernardino,2019,890.9095444
SanDiego,2019,520.098294
SanFrancisco,2019,690.4842821
SanJoaquin,2019,456.666046
SanLuisObispo,2019,784.9170248
SanMateo,2019,885.7257104
SantaBarbara,2019,788.5048302
SantaClara,2019,921.3567819
SantaCruz,2019,754.199789
Shasta,2019,1486.151634
Solano,2019,770.8459558
Sonoma,2019,1117.567516
Stanislaus,2019,561.092268
Sutter,2019,766.4163473
Tehama,2019,841.2764725
Tulare,2019,566.9983808
Ventura,2019,628.6620831
Yolo,2019,647.2372168
Yuba,2019,788.4532053
Alameda,2020,407.1943035
Butte,2020,714.822423
Cache,2020,634.0916379
Calaveras,2020,656.9934351
Colusa,2020,502.8189325
ContraCosta,2020,439.4899647
Davis,2020,865.296672
Fresno,2020,299.2757913
Glenn,2020,484.9720663
Imperial,2020,63.73239594
Inyo,2020,218.0811502
Kern,2020,173.8278177
Kings,2020,188.8056322
Lake,2020,740.0708056
LosAngeles,2020,347.7823589
Madera,2020,304.2522059
Marin,2020,588.8315293
Merced,2020,317.7162492
Monterey,2020,472.4547687
Napa,2020,621.567427
Nevada,2020,1397.405722
NULL,2020,352.1184076
Orange,2020,249.6574609
Placer,2020,588.0007865
Riverside,2020,129.1708957
Sacramento,2020,475.8683329
SaltLake,2020,846.399887
San Bernardino,2020,210.9193516
SanBenito,2020,383.7997674
SanBernardino,2020,360.0388521
SanDiego,2020,296.3387038
SanFrancisco,2020,435.6992972
SanJoaquin,2020,250.8493723
SanLuisObispo,2020,429.6854053
SanMateo,2020,558.679442
SantaBarbara,2020,466.3862316
SantaClara,2020,598.3856549
SantaCruz,2020,550.0420152
Shasta,2020,871.8907064
Solano,2020,528.7805152
Sonoma,2020,673.2356384
Stanislaus,2020,346.7932593
